Card Name,Card Code,Copies Possessed (out of 3),Class,Traits,Card Type,Card Cost,Attack,Defense,Artist,Promo Obtain Source (if PR in code),Art URL
"Ladica, the Stoneclaw",BP07-002EN,0,Forestcraft,Natura|Beast,Follower / Evolved,-,6,6,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-002EN.png
"Cynthia, the Queen's Blade",BP07-003EN,0,Forestcraft,Elf,Follower,6,4,6,HSN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-003EN.png
Primal Giant,BP07-004EN,0,Forestcraft,Natura|Fae-Touched,Follower,9,7,7,SEMSEI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-004EN.png
"Setus, the Beastblade",BP07-005EN,0,Forestcraft,Beast,Follower,5,3,5,Kouta Nagamori,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-005EN.png
"Setus, the Beastblade",BP07-006EN,0,Forestcraft,Beast,Follower / Evolved,-,4,6,Kouta Nagamori,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-006EN.png
Send 'Em Packing,BP07-007EN,0,Forestcraft,Natura|Beast,Spell,0,-,-,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-007EN.png
Blossom Spirit,BP07-008EN,0,Forestcraft,Natura|Fae-Touched,Follower,3,2,3,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-008EN.png
Blossom Spirit,BP07-009EN,0,Forestcraft,Natura|Fae-Touched,Follower / Evolved,-,3,4,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-009EN.png
Avatar of Fruition,BP07-010EN,0,Forestcraft,Natura|Fae-Touched,Follower,2,3,2,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-010EN.png
Divine Smithing,BP07-011EN,0,Forestcraft,Elf,Spell,1,-,-,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-011EN.png
Cheshire Cat,BP07-012EN,0,Forestcraft,Beast|Fable,Follower,1,1,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-012EN.png
Ghastly Treant,BP07-013EN,0,Forestcraft,Natura|Verdant,Follower,2,2,3,Hisanobu Kometani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-013EN.png
Forest Hermit,BP07-014EN,0,Forestcraft,Hunter,Follower,1,1,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-014EN.png
Forest Hermit,BP07-015EN,0,Forestcraft,Hunter,Follower / Evolved,-,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-015EN.png
Marvelously Mad Hatter,BP07-016EN,0,Forestcraft,Fable,Follower,2,2,3,ezusuke,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-016EN.png
Fertile Aether,BP07-017EN,0,Forestcraft,Natura,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-017EN.png
"Bayleon, Sovereign Light",BP07-018EN,0,Swordcraft,Natura|Commander|Beast,Follower,3,3,3,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-018EN.png
"Bayleon, Sovereign Light",BP07-019EN,0,Swordcraft,Natura|Commander|Beast,Follower / Evolved,-,4,4,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-019EN.png
"Mistolina, Forest Princess",BP07-020EN,0,Swordcraft,Natura|Commander|Princess,Follower,6,4,6,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-020EN.png
Tsubaki of the Demon Blade,BP07-021EN,0,Swordcraft,Assassin|Ninja,Follower,3,4,3,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-021EN.png
"Leod, the Crescent Blade",BP07-022EN,0,Swordcraft,Assassin,Follower,2,1,3,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-022EN.png
"Leod, the Crescent Blade",BP07-023EN,0,Swordcraft,Assassin,Follower / Evolved,-,2,4,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-023EN.png
King's Might,BP07-024EN,0,Swordcraft,Natura|Commander|Beast,Spell,3,-,-,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-024EN.png
"Troya, Thunder of Hagelberg",BP07-025EN,0,Swordcraft,Officer|Assassin,Follower,3,2,2,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-025EN.png
"Troya, Thunder of Hagelberg",BP07-026EN,0,Swordcraft,Officer|Assassin,Follower / Evolved,-,3,3,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-026EN.png
"Valse, Champion Deadeye",BP07-027EN,0,Swordcraft,Officer,Follower,2,2,3,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-027EN.png
Princess's Strike,BP07-028EN,0,Swordcraft,Natura|Commander|Princess,Spell,1,-,-,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-028EN.png
Swift Tigress,BP07-029EN,0,Swordcraft,Natura|Officer|Beast,Follower,3,4,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-029EN.png
Lupine Axeman,BP07-030EN,0,Swordcraft,Natura|Officer|Beast,Follower,2,2,3,Asuka111,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-030EN.png
Dauntless Commander,BP07-031EN,0,Swordcraft,Commander,Follower,2,2,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-031EN.png
Dauntless Commander,BP07-032EN,0,Swordcraft,Commander,Follower / Evolved,-,3,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-032EN.png
Tempered Aether,BP07-033EN,0,Swordcraft,Natura,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-033EN.png
Elegance in Action,BP07-034EN,0,Swordcraft,Officer|Maid,Spell,1,-,-,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-034EN.png
"Tetra, Sapphire Rebel",BP07-035EN,0,Runecraft,Machina|Golem,Follower,3,3,3,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-035EN.png
"Tetra, Sapphire Rebel",BP07-036EN,0,Runecraft,Machina|Golem,Follower / Evolved,-,4,4,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-036EN.png
"Belphomet, Lord of Aiolon",BP07-037EN,0,Runecraft,Machina|Supreme,Follower,7,5,5,Kouta Nagamori,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-037EN.png
"Riley, Hydroshaman",BP07-038EN,0,Runecraft,Mage,Follower,3,3,4,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-038EN.png
"Eleanor, Cosmic Flower",BP07-039EN,0,Runecraft,Mage,Follower,2,2,2,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-039EN.png
"Eleanor, Cosmic Flower",BP07-040EN,0,Runecraft,Mage,Follower / Evolved,-,3,3,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-040EN.png
Delta Cannon,BP07-041EN,0,Runecraft,Machina|Golem,Spell,1,-,-,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-041EN.png
Displacer Bot,BP07-042EN,0,Runecraft,Machina|Golem,Follower,3,3,2,lack,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-042EN.png
Displacer Bot,BP07-043EN,0,Runecraft,Machina|Golem,Follower / Evolved,-,4,3,lack,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-043EN.png
Mechanized Lifeform,BP07-044EN,0,Runecraft,Machina|Forbidden,Follower,2,3,1,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-044EN.png
Splendid Conjury,BP07-045EN,0,Runecraft,Mage,Spell,2,-,-,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-045EN.png
Mechastaff Sorcerer,BP07-046EN,0,Runecraft,Machina|Mage,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-046EN.png
Prototype Warrior,BP07-047EN,0,Runecraft,Machina|Golem,Follower,1,2,1,okojo,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-047EN.png
Magiblade Witch,BP07-048EN,0,Runecraft,Mage,Follower,2,2,2,Kinugasa Yuuichi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-048EN.png
Magiblade Witch,BP07-049EN,0,Runecraft,Mage,Follower / Evolved,-,3,3,Kinugasa Yuuichi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-049EN.png
Presto Chango,BP07-050EN,0,Runecraft,Mage,Spell,2,-,-,Chiaki Negishi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-050EN.png
Sagacious Core,BP07-051EN,0,Runecraft,Machina,Amulet,1,-,-,ShuLa,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-051EN.png
"Valdain, Cursed Shadow",BP07-052EN,0,Dragoncraft,Natura|Dragonewt,Follower,4,4,4,Nambo Attall,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-052EN.png
"Valdain, Cursed Shadow",BP07-053EN,0,Dragoncraft,Natura|Dragonewt,Follower / Evolved,-,5,5,Nambo Attall,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-053EN.png
"Neptune, Tidemistress",BP07-054EN,0,Dragoncraft,Dragonheart|Marine,Follower,7,6,6,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-054EN.png
Wildfire Tyrannosaur,BP07-055EN,0,Dragoncraft,Natura|Wyrmkin,Follower,8,6,6,Tatsuyaki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-055EN.png
"Marion, Elegant Dragonewt",BP07-056EN,0,Dragoncraft,Dragonewt,Follower,1,2,2,Nijihayashi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-056EN.png
"Marion, Elegant Dragonewt",BP07-057EN,0,Dragoncraft,Dragonewt,Follower / Evolved,-,2,2,Nijihayashi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-057EN.png
Shadow's Corrosion,BP07-058EN,0,Dragoncraft,Natura|Dragonewt,Spell,3,-,-,Nambo Attall,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-058EN.png
Bubbleborne Mermaid,BP07-059EN,0,Dragoncraft,Marine,Follower,2,2,3,JaneMere,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-059EN.png
Hoarfrost Triceratops,BP07-060EN,0,Dragoncraft,Natura|Wyrmkin,Follower,4,3,3,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-060EN.png
Hoarfrost Triceratops,BP07-061EN,0,Dragoncraft,Natura|Wyrmkin,Follower / Evolved,-,4,4,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-061EN.png
Whirlwind Pteranodon,BP07-062EN,0,Dragoncraft,Natura|Wyrmkin,Follower,3,3,2,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-062EN.png
Dragonewt Needler,BP07-063EN,0,Dragoncraft,Dragonewt,Follower,3,2,4,Rwael,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-063EN.png
Lightning Velociraptor,BP07-064EN,0,Dragoncraft,Natura|Wyrmkin,Follower,2,3,2,VICTOR,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-064EN.png
Doting Dragoneer,BP07-065EN,0,Dragoncraft,Dragonheart,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-065EN.png
Doting Dragoneer,BP07-066EN,0,Dragoncraft,Dragonheart,Follower / Evolved,-,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-066EN.png
Boomfish,BP07-067EN,0,Dragoncraft,Marine,Follower,2,3,2,David Demaret,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-067EN.png
Feral Aether,BP07-068EN,0,Dragoncraft,Natura,Spell,1,-,-,AOGIRI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-068EN.png
"Mono, Garnet Rebel",BP07-069EN,0,Abysscraft,Machina|Demon,Follower,2,3,2,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-069EN.png
"Mono, Garnet Rebel",BP07-070EN,0,Abysscraft,Machina|Demon,Follower / Evolved,-,5,4,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-070EN.png
Kudlak,BP07-071EN,0,Abysscraft,Vampire,Follower,7,4,6,Akira Miyazaki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-071EN.png
"Aenea, Amethyst Rebel",BP07-072EN,0,Abysscraft,Machina|Demon,Follower,4,2,2,Rwael,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-072EN.png
"Doublame, Duke and Dame",BP07-073EN,0,Abysscraft,Demon,Follower,2,2,2,hikaru,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-073EN.png
"Doublame, Duke and Dame",BP07-074EN,0,Abysscraft,Demon,Follower / Evolved,-,3,3,hikaru,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-074EN.png
Alpha Drive,BP07-075EN,0,Abysscraft,Machina|Demon,Spell,1,-,-,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-075EN.png
"Nicola, Forbidden Strength",BP07-076EN,0,Abysscraft,Machina|Departed,Follower,3,3,3,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-076EN.png
"Nicola, Forbidden Strength",BP07-077EN,0,Abysscraft,Machina|Departed,Follower / Evolved,-,4,4,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-077EN.png
Hellblaze Demon,BP07-078EN,0,Abysscraft,Demon,Follower,2,2,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-078EN.png
Forbidden Art,BP07-079EN,0,Abysscraft,Machina|Departed,Spell,2,-,-,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-079EN.png
Robozombie,BP07-080EN,0,Abysscraft,Machina|Departed,Follower,4,2,5,Oben Dogenzaka,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-080EN.png
Bone Drone,BP07-081EN,0,Abysscraft,Machina|Departed,Follower,2,2,2,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-081EN.png
Berserk Demon,BP07-082EN,0,Abysscraft,Demon,Follower,4,6,6,danciao,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-082EN.png
Berserk Demon,BP07-083EN,0,Abysscraft,Demon,Follower / Evolved,-,8,8,danciao,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-083EN.png
Ghostwriter,BP07-084EN,0,Abysscraft,Departed,Follower,2,2,3,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-084EN.png
Sanguine Core,BP07-085EN,0,Abysscraft,Machina,Amulet,1,-,-,ShuLa,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-085EN.png
"Limonia, Flawed Saint",BP07-086EN,0,Havencraft,Machina|Faith|Zealot|Eidolon,Follower,3,3,2,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-086EN.png
"Limonia, Flawed Saint",BP07-087EN,0,Havencraft,Machina|Faith|Zealot|Eidolon,Follower / Evolved,-,5,4,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-087EN.png
"Lapis, Glorious Seraph",BP07-088EN,0,Havencraft,Faith|Luminary|Lightborne,Follower,5,3,7,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-088EN.png
Father Refinement,BP07-089EN,0,Havencraft,Machina|Faith|Zealot,Follower,5,4,4,Nambo Attall,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-089EN.png
"Marlone, Light of Balance",BP07-090EN,0,Havencraft,Faith,Follower,3,3,3,Usugumo Nezu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-090EN.png
"Marlone, Light of Balance",BP07-091EN,0,Havencraft,Faith,Follower / Evolved,-,4,4,Usugumo Nezu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-091EN.png
Augmentation Bestowal,BP07-092EN,0,Havencraft,Machina|Faith,Spell,2,-,-,Oben Dogenzaka,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-092EN.png
Bunny-Eared Administrator,BP07-093EN,0,Havencraft,Beast|Fable,Follower,2,2,1,yuhi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-093EN.png
Robofalcon,BP07-094EN,0,Havencraft,Machina|Avian,Follower,2,1,3,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-094EN.png
Robofalcon,BP07-095EN,0,Havencraft,Machina|Avian,Follower / Evolved,-,2,4,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-095EN.png
"Marcotte, Heretical Sister",BP07-096EN,0,Havencraft,Zealot,Follower,2,1,3,liiko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-096EN.png
Ironknuckle Nun,BP07-097EN,0,Havencraft,Machina|Faith,Follower,2,2,3,Isuka Harada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-097EN.png
Dark Bishop,BP07-098EN,0,Havencraft,Faith|Fable,Follower,4,3,3,doughnutz,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-098EN.png
Dark Bishop,BP07-099EN,0,Havencraft,Faith|Fable,Follower / Evolved,-,4,4,doughnutz,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-099EN.png
"Meowskers, Ruff-Tuff Major",BP07-100EN,0,Havencraft,Natura|Lightborne|Beast,Follower,2,1,3,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-100EN.png
Saintly Core,BP07-101EN,0,Havencraft,Machina,Amulet,1,-,-,liiko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-101EN.png
Meowskers Ambush!,BP07-102EN,0,Havencraft,Natura|Lightborne|Beast,Amulet,1,-,-,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-102EN.png
Technolord,BP07-103EN,0,Neutral,Machina|Deity,Follower,6,6,6,Mstk,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-103EN.png
Viridia Magna,BP07-104EN,0,Neutral,Natura|Deity,Follower,4,0,4,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-104EN.png
Viridia Magna,BP07-105EN,0,Neutral,Natura|Deity,Follower / Evolved,-,4,4,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-105EN.png
Mechawing Angel,BP07-106EN,0,Neutral,Machina|Angel,Follower,3,3,3,Melodyoflost,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-106EN.png
Desert Pathfinder,BP07-107EN,0,Neutral,Natura|Mercenary,Follower,2,2,3,NAVAR,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-107EN.png
"Maisha, Hero of Purgation",BP07-108EN,0,Neutral,Supreme,Follower,2,2,3,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-108EN.png
"Maisha, Hero of Purgation",BP07-109EN,0,Neutral,Supreme,Follower / Evolved,-,3,4,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-109EN.png
Robogoblin,BP07-110EN,0,Neutral,Machina|Goblinoid,Follower,2,2,2,Tatsuyaki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-110EN.png
Robogoblin,BP07-111EN,0,Neutral,Machina|Goblinoid,Follower / Evolved,-,3,3,Tatsuyaki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-111EN.png
Colorful Cook,BP07-112EN,0,Neutral,Natura|Chef,Follower,1,1,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-112EN.png
Purgation's Blade,BP07-113EN,0,Neutral,Supreme,Spell,3,-,-,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-113EN.png
"Aldis, Trendsetting Seraph",BP07-114EN,0,Neutral,Angel,Follower,5,4,5,tetsuo ameno,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-114EN.png
"Aldis, Trendsetting Seraph",BP07-115EN,0,Neutral,Angel,Follower / Evolved,-,5,6,tetsuo ameno,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-115EN.png
Mechagun Wielder,BP07-116EN,0,Neutral,Machina|Mercenary,Follower,1,1,2,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-116EN.png
Extreme Carrot,BP07-117EN,0,Neutral,Natura|Mercenary,Follower,2,2,2,David Demaret,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-117EN.png
"Emmylou, Wee Witchette",BP07-LD01EN,0,Runecraft,,Leader,-,-,-,Maki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-LD01EN.png
"Forte, Duskwing Tyrant",BP07-LD02EN,0,Dragoncraft,,Leader,-,-,-,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-LD02EN.png
"Sonia, Guardian of Silence",BP07-LD03EN,0,Havencraft,,Leader,-,-,-,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-LD03EN.png
Send 'Em Packing,BP07-P01EN,0,Forestcraft,Natura|Beast,Spell,0,-,-,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P01EN.png
Blossom Spirit,BP07-P02EN,0,Forestcraft,Natura|Fae-Touched,Follower,3,2,3,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P02EN.png
Blossom Spirit,BP07-P03EN,0,Forestcraft,Natura|Fae-Touched,Follower / Evolved,-,3,4,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P03EN.png
Avatar of Fruition,BP07-P04EN,0,Forestcraft,Natura|Fae-Touched,Follower,2,3,2,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P04EN.png
Fertile Aether,BP07-P05EN,0,Forestcraft,Natura,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P05EN.png
King's Might,BP07-P06EN,0,Swordcraft,Natura|Commander|Beast,Spell,3,-,-,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P06EN.png
"Troya, Thunder of Hagelberg",BP07-P07EN,0,Swordcraft,Officer|Assassin,Follower,3,2,2,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P07EN.png
"Troya, Thunder of Hagelberg",BP07-P08EN,0,Swordcraft,Officer|Assassin,Follower / Evolved,-,3,3,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P08EN.png
Princess's Strike,BP07-P09EN,0,Swordcraft,Natura|Commander|Princess,Spell,1,-,-,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P09EN.png
Tempered Aether,BP07-P10EN,0,Swordcraft,Natura,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P10EN.png
Delta Cannon,BP07-P11EN,0,Runecraft,Machina|Golem,Spell,1,-,-,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P11EN.png
Displacer Bot,BP07-P12EN,0,Runecraft,Machina|Golem,Follower,3,3,2,lack,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P12EN.png
Displacer Bot,BP07-P13EN,0,Runecraft,Machina|Golem,Follower / Evolved,-,4,3,lack,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P13EN.png
Splendid Conjury,BP07-P14EN,0,Runecraft,Mage,Spell,2,-,-,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P14EN.png
Sagacious Core,BP07-P15EN,0,Runecraft,Machina,Amulet,1,-,-,ShuLa,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P15EN.png
Shadow's Corrosion,BP07-P16EN,0,Dragoncraft,Natura|Dragonewt,Spell,3,-,-,Nambo Attall,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P16EN.png
Hoarfrost Triceratops,BP07-P17EN,0,Dragoncraft,Natura|Wyrmkin,Follower,4,3,3,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P17EN.png
Hoarfrost Triceratops,BP07-P18EN,0,Dragoncraft,Natura|Wyrmkin,Follower / Evolved,-,4,4,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP07/BP07-P18EN.png
